기준_년_코드,기준_분기_코드,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
36378,47,5386534398.0,396342,1320,481,280,289,265,249,240,299,183,52,116,344,563,558,175,979,821,0,219,395,394,408,391,4230004228.0,1156530170.0,191114202,474823132.0,1016944848.0,1833442388.0,1300840463.0,569369365,2473536282.0,1942534870.0,5724907,672920972,852854550.0,899232854.0,795208079.0,1190129792.0,290830,105512,57225,55953,56891,57831,62930,56890,48622,27423,62762,57881,51148,122195,74933,263744,123374,1431,109711,119488,75304,55154,26024
88924,105,26013266382.0,406399,3140,1262,551,709,564,588,734,703,564,50,475,986,1359,1260,277,2096,2308,29,367,613,1249,1307,845,22137036125.0,3876230257.0,107149111,3303107993.0,7655039148.0,8362685539.0,6018544580.0,566740011,14946823374.0,10338413069.0,52469700,846997496,2770377670.0,11867958263.0,5785218421.0,3962214887.0,299396,107003,60087,58578,57365,58881,64485,61116,45887,15391,50673,80441,99319,117179,43396,241583,160223,7329,67364,73853,81782,93265,78221
52546,65,17720986417.0,873799,2028,574,499,430,346,391,366,384,190,43,358,547,659,867,128,1419,1181,11,202,396,423,754,819,17373692275.0,347294142.0,43504123,4225719504.0,5443506547.0,6864324580.0,1032487071.0,111444592,10395857554.0,7295109373.0,6951781,308806964,1219072236.0,1804355723.0,2587752334.0,11764027891.0,846188,27611,160475,188279,168850,175334,153250,14819,12792,5824,216269,256655,314214,67138,13699,560394,312171,1483,34384,66208,89720,109089,571675
131365,163,17232561358.0,1061889,5188,1321,1232,983,828,932,1231,870,452,42,611,1480,2092,2093,190,3361,3143,23,616,1167,1417,1719,1575,12417384534.0,4815176824.0,440032915,1723069805.0,3593734471.0,4844665615.0,5131625104.0,1499433448,9813204538.0,6646727374.0,86852423,1512047472,3065906354.0,3664404317.0,4901134869.0,3229586488.0,773089,288800,153265,149991,151746,153948,164139,155764,133036,62750,160682,160062,185033,308857,184505,689607,359206,19512,173882,248161,258259,220753,128259
42441,51,9283039713.0,137831,1786,317,312,331,336,372,440,250,67,56,204,403,656,638,149,1414,688,15,132,231,731,746,254,8792005529.0,491034184.0,91491593,1305000201.0,1961793914.0,4358744651.0,1365340640.0,200668714,5166901131.0,2142938253.0,87776898,527628461,582937912.0,3761655281.0,2050101175.0,299739655.0,104590,33241,19619,21723,19864,19606,23778,18500,14741,12821,21503,24839,27431,31286,19951,88248,47721,6895,23118,24981,42353,25300,13333
32336,40,3160295192.0,250607,1211,391,256,220,234,232,274,266,125,53,107,277,518,557,97,678,924,15,203,198,347,528,311,2424056575.0,736238617.0,107589113,379775833.0,581992608.0,903650274.0,983171357.0,204116007,1509705860.0,1457497813.0,16335196,351934034,384857429.0,534137471.0,847386130.0,832553412.0,191759,58848,36464,33983,35702,39621,45989,38285,20563,14759,30420,48879,55982,73217,27350,119178,122149,4260,51855,44238,35941,55443,49597
171785,214,57737653118.0,3371222,6212,2300,999,1210,1417,1227,1367,1403,896,34,684,2031,2967,2560,236,4202,4309,122,766,1263,1848,2549,1969,43855431459.0,13882221659.0,600992999,5856155129.0,13464328616.0,18355954976.0,16994610005.0,2465611393,27417247383.0,27968122218.0,306963185,4406573660,6563579895.0,11477053936.0,17277993505.0,15353205415.0,2531261,839961,513758,494906,490085,500457,532055,481155,358806,78950,498478,717996,831815,989017,254966,1857897,1469727,65314,514998,581882,678763,767804,718865
113176,139,39433057681.0,1883506,4061,1543,885,829,780,742,836,963,580,57,430,1211,1602,1938,379,2618,2983,31,352,729,1415,1539,1549,27015908374.0,12417149307.0,186696047,3911527747.0,8418483604.0,11099895476.0,14196455141.0,1619999666,16636099947.0,21630055774.0,71228890,1675640614,4183996032.0,8298732960.0,11110192372.0,12926364846.0,1282095,601411,250877,239445,254582,247380,289811,333548,267863,29846,147843,359141,501317,707794,137565,837547,1035241,16022,145578,243832,421334,530030,515988
32336,40,2724686766.0,52579,1242,358,313,257,342,191,138,132,227,0,176,223,695,413,97,521,1079,1,77,505,135,673,211,2055803710.0,668883056.0,0,443861674.0,501628709.0,747191221.0,735248702.0,296756460,901601950.0,1803029688.0,2746796,187337020,385378839.0,277193982.0,1510943839.0,341031163.0,35859,16720,7547,6650,7727,6404,7531,8768,7952,0,5029,10721,14803,20097,1929,29739,22743,178,7542,10321,8134,14614,11693
159659,197,94924523453.0,4541905,5633,2275,893,1133,1069,1215,1332,1490,787,36,505,1901,3062,2300,102,3356,4552,49,504,1177,1946,2780,1459,72919288532.0,22005234921.0,874568861,7227458004.0,27270722358.0,34101549861.0,22900936733.0,2549287636,41238873338.0,47797385271.0,383432550,3854244013,10043851409.0,26800387048.0,32953771721.0,15000571865.0,3301740,1240165,634309,648759,653876,653397,711399,687100,553065,115692,515198,1140572,1173652,1257445,339346,2141287,2375919,82525,491321,702006,1352210,1159950,729191
8084,10,2254035.0,73,381,20,0,59,110,112,100,20,0,0,107,28,157,108,0,400,0,0,0,100,127,93,80,2086573.0,167462.0,0,261240.0,244494.0,850705.0,897596.0,0,1708110.0,0.0,0,0,200954.0,190907.0,807166.0,509083.0,66,7,0,13,20,20,13,7,0,0,13,13,26,21,0,41,0,0,0,7,14,6,14
123281,152,74551251144.0,1337926,4949,1154,1009,1104,816,956,1073,738,419,33,1009,1435,1796,1582,258,3285,2817,132,616,1367,1180,1609,1215,66115483190.0,8435767954.0,305647605,10660644725.0,16934326055.0,27389637914.0,16779949358.0,2481045487,44966912375.0,27392800769.0,172541948,3334632309,16735066707.0,20589703903.0,23874328185.0,7653440104.0,993362,344564,196976,192624,195919,199184,208659,191328,153236,43322,194870,241026,268866,404977,184865,810105,504167,20423,229011,318208,278576,271701,196359
147533,186,39907091000.0,2532782,5843,1462,1097,1194,1119,1039,1413,987,479,32,593,1827,2424,2128,311,3309,4001,27,564,1216,1851,1785,1873,31755684637.0,8151406363.0,307549164,4411245393.0,10563890834.0,11681340457.0,11715640576.0,1227424576,18325138150.0,19328994852.0,178796488,2283063911,6689806896.0,10052547889.0,9410653563.0,9039264246.0,2048610,484172,452681,386041,393963,397708,418217,313884,170288,38812,357251,613822,648397,732919,141581,1248540,1271994,30740,261909,506706,624792,592072,504316
