"동별(1)",동별(2),동별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"동별(1)",동별(2),동별(3),합계,합계,합계,합계,합계,합계,노상,노상,노상,노상,노상,노상,노외,노외,노외,노외,노외,노외,노외,노외,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설
"동별(1)",동별(2),동별(3),소계,소계,공영,공영,민영,민영,소계,소계,시영,시영,구영,구영,소계,소계,시영,시영,구영,구영,민영,민영,소계,소계,일반주택,일반주택,공동주택,공동주택,일반건축물,일반건축물
"동별(1)",동별(2),동별(3),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수)
"합계",중구,신당동,406,7755,15,1286,391,6469,13,136,4,50,9,86,3,1165,1,1092,1,58,1,15,390,6454,106,230,41,1289,243,4935
"합계",중구,다산동,668,4795,20,548,648,4247,11,70,-,-,11,70,9,478,-,-,9,478,-,-,648,4247,180,502,241,1752,227,1993
"합계",중구,약수동,264,6309,3,92,261,6217,2,2,-,-,2,2,1,90,-,-,1,90,-,-,261,6217,35,131,98,5268,128,818
"합계",중구,청구동,235,5142,12,203,223,4939,10,69,-,-,10,69,2,134,-,-,2,134,-,-,223,4939,69,182,54,3938,100,819
"합계",중구,동화동,250,4997,6,249,244,4748,5,20,-,-,5,20,1,229,-,-,1,229,-,-,244,4748,52,148,37,3394,155,1206
"합계",용산구,소계,7434,110649,391,6387,7043,104262,353,3474,2,21,351,3453,64,3481,4,849,34,2064,26,568,7017,103694,2726,6242,2119,57834,2172,39618
"합계",용산구,후암동,753,4204,25,263,728,3941,22,188,-,-,22,188,5,112,-,-,3,75,2,37,726,3904,292,576,325,2552,109,776
"합계",용산구,용산2가동,405,1199,24,235,381,964,21,104,-,-,21,104,3,131,1,24,2,107,-,-,381,964,167,197,96,331,118,436
"합계",용산구,남영동,265,5512,18,222,247,5290,17,193,-,-,17,193,7,213,-,-,1,29,6,184,241,5106,57,110,61,414,123,4582
"합계",용산구,원효로2동,273,5281,13,215,260,5066,12,105,-,-,12,105,1,110,-,-,1,110,-,-,260,5066,80,170,78,3455,102,1441
"합계",용산구,효창동,343,3835,26,318,317,3517,25,302,-,-,25,302,1,16,-,-,1,16,-,-,317,3517,101,261,145,2580,71,676
"합계",용산구,용문동,383,4268,8,95,375,4173,6,48,-,-,6,48,3,72,-,-,2,47,1,25,374,4148,151,341,175,3527,48,280
"합계",용산구,이촌1동,74,10739,9,131,65,10608,8,126,-,-,8,126,1,5,-,-,1,5,-,-,65,10608,-,-,34,9859,31,749
"합계",용산구,이촌2동,59,2194,12,209,47,1985,12,209,-,-,12,209,-,-,-,-,-,-,-,-,47,1985,6,13,23,1790,18,182
"합계",용산구,이태원1동,455,3678,19,168,436,3510,19,168,-,-,19,168,5,81,-,-,-,-,5,81,431,3429,208,668,68,812,155,1949
"합계",용산구,이태원2동,691,3624,15,291,676,3333,14,180,-,-,14,180,2,131,-,-,1,111,1,20,675,3313,406,823,169,1796,100,694
"합계",용산구,서빙고동,242,6524,21,482,221,6042,18,349,-,-,18,349,4,141,1,88,2,45,1,8,220,6034,97,181,64,3802,59,2051
"합계",용산구,보광동,406,2552,23,284,383,2268,19,205,-,-,19,205,8,120,-,-,4,79,4,41,379,2227,198,418,95,1122,86,687
"합계",용산구,청파동,922,5992,33,426,889,5566,27,174,-,-,27,174,7,297,-,-,6,252,1,45,888,5521,341,786,281,1816,266,2919
"합계",용산구,원효로1동,434,8518,26,166,408,8352,26,166,1,16,25,150,-,-,-,-,-,-,-,-,408,8352,97,232,127,5360,184,2760
"합계",용산구,한강로동,457,26232,73,2003,384,24229,65,641,-,-,65,641,10,1413,1,561,7,801,2,51,382,24178,38,52,61,10451,283,13675
"합계",용산구,한남동,1272,16297,46,879,1226,15418,42,316,1,5,41,311,7,639,1,176,3,387,3,76,1223,15342,487,1414,317,8167,419,5761
"합계",성동구,소계,6671,134107,267,6857,6404,127250,237,4495,1,31,236,4464,73,3667,1,10,29,2352,43,1305,6361,125945,2936,6551,893,75814,2532,43580
"합계",성동구,왕십리2동,230,5083,6,140,224,4943,5,46,-,-,5,46,2,128,-,-,1,94,1,34,223,4909,103,270,28,3934,92,705
"합계",성동구,마장동,718,8756,38,1015,680,7741,35,824,-,-,35,824,7,448,1,10,2,181,4,257,676,7484,294,653,77,4209,305,2622
"합계",성동구,사근동,488,7382,8,243,480,7139,5,47,-,-,5,47,4,235,-,-,3,196,1,39,479,7100,262,846,77,1904,140,4350
"합계",성동구,행당1동,297,7535,7,80,290,7455,7,80,-,-,7,80,4,202,-,-,-,-,4,202,286,7253,105,240,58,4004,123,3009
"합계",성동구,행당2동,91,9355,2,22,89,9333,2,22,-,-,2,22,-,-,-,-,-,-,-,-,89,9333,46,118,25,9019,18,196
"합계",성동구,응봉동,98,3161,11,373,87,2788,8,135,-,-,8,135,3,238,-,-,3,238,-,-,87,2788,44,85,33,2555,10,148
"합계",성동구,금호1가동,80,5454,6,100,74,5354,4,70,-,-,4,70,2,30,-,-,2,30,-,-,74,5354,14,28,11,4867,49,459
"합계",성동구,금호4가동,137,5432,2,45,135,5387,2,45,-,-,2,45,3,17,-,-,-,-,3,17,132,5370,48,104,29,4777,55,489
"합계",성동구,성수1가1동,592,7596,16,420,576,7176,14,228,-,-,14,228,4,243,-,-,2,192,2,51,574,7125,229,513,89,2809,256,3803
"합계",성동구,성수1가2동,622,9280,23,340,599,8940,21,237,-,-,21,237,4,148,-,-,2,103,2,45,597,8895,398,737,41,5008,158,3150
"합계",성동구,성수2가1동,677,8383,35,743,642,7640,33,540,-,-,33,540,5,254,-,-,2,203,3,51,639,7589,314,685,75,2692,250,4212
"합계",성동구,성수2가3동,729,16306,40,1258,689,15048,39,1066,-,-,39,1066,6,315,-,-,1,192,5,123,684,14925,168,454,53,2962,463,11509
"합계",성동구,송정동,548,3118,12,306,536,2812,10,169,-,-,10,169,4,170,-,-,2,137,2,33,534,2779,400,638,57,1242,77,899
"합계",성동구,용답동,514,6299,25,908,489,5391,21,575,-,-,21,575,13,671,-,-,4,333,9,338,480,5053,242,464,38,376,200,4213
"합계",성동구,왕십리도선동,363,13483,20,414,343,13069,18,141,-,-,18,141,6,347,-,-,2,273,4,74,339,12995,103,333,35,10142,201,2520
"합계",성동구,금호2.3가동,345,6781,9,298,336,6483,7,165,-,-,7,165,4,154,-,-,2,133,2,21,334,6462,127,242,133,5665,74,555
"합계",성동구,옥수동,142,10703,7,152,135,10551,6,105,1,31,5,74,2,67,-,-,1,47,1,20,134,10531,39,141,34,9649,61,741
"합계",광진구,소계,18992,137040,2748,5063,16244,131977,2672,2960,1,19,2671,2941,104,2683,-,-,76,2103,28,580,16216,131397,8887,25149,3979,62597,3350,43651
"합계",광진구,화양동,1330,10275,134,221,1196,10054,128,128,-,-,128,128,7,113,-,-,6,93,1,20,1195,10034,635,1764,170,1693,390,6577
"합계",광진구,군자동,1177,7484,42,166,1135,7318,36,36,-,-,36,36,8,180,-,-,6,130,2,50,1133,7268,648,1999,202,2397,283,2872
"합계",광진구,중곡1동,1244,5481,129,156,1115,5325,126,126,-,-,126,126,6,210,-,-,3,30,3,180,1112,5145,596,1594,211,1715,305,1836
"합계",광진구,중곡2동,1506,6742,94,194,1412,6548,92,170,-,-,92,170,3,33,-,-,2,24,1,9,1411,6539,802,2298,385,2793,224,1448
"합계",광진구,중곡3동,1239,5852,206,475,1033,5377,202,202,-,-,202,202,4,273,-,-,4,273,-,-,1033,5377,604,1456,207,1483,222,2438
"합계",광진구,중곡4동,2236,8709,400,568,1836,8141,392,424,-,-,392,424,9,174,-,-,8,144,1,30,1835,8111,985,2544,515,3758,335,1809
"합계",광진구,능동,1082,7301,210,311,872,6990,207,207,-,-,207,207,4,121,-,-,3,104,1,17,871,6973,647,2417,133,944,91,3612
"합계",광진구,구의1동,1576,7765,103,399,1473,7366,95,95,-,-,95,95,10,373,-,-,8,304,2,69,1471,7297,825,2441,368,2522,278,2334
"합계",광진구,구의2동,1545,9045,200,373,1345,8672,191,191,-,-,191,191,9,182,-,-,9,182,-,-,1345,8672,674,1954,508,5329,163,1389
"합계",광진구,구의3동,898,14977,145,431,753,14546,142,227,1,19,141,208,4,223,-,-,3,204,1,19,752,14527,310,1006,256,8781,186,4740
"합계",광진구,광장동,555,16543,210,259,345,16284,205,205,-,-,205,205,5,54,-,-,5,54,-,-,345,16284,100,263,102,10177,143,5844
"합계",광진구,자양1동,1372,7170,62,133,1310,7037,57,57,-,-,57,57,9,140,-,-,5,76,4,64,1306,6973,726,1802,328,3232,252,1939
"합계",광진구,자양2동,1519,9853,348,644,1171,9209,342,342,-,-,342,342,16,393,-,-,6,302,10,91,1161,9118,631,1822,371,5290,159,2006
"합계",광진구,자양3동,672,14288,275,400,397,13888,271,364,-,-,271,364,5,46,-,-,4,36,1,10,396,13878,246,703,109,10238,41,2937
"합계",광진구,자양4동,1041,5555,190,333,851,5222,186,186,-,-,186,186,5,168,-,-,4,147,1,21,850,5201,458,1086,114,2245,278,1870
"합계",동대문구,소계,10132,148063,610,6191,9522,141872,577,3920,2,128,575,3792,52,3130,3,233,30,2038,19,859,9503,141013,4130,9487,1730,81460,3643,50066
"합계",동대문구,회기동,592,6106,15,248,577,5858,14,148,-,-,14,148,2,120,-,-,1,100,1,20,576,5838,302,646,70,1352,204,3840
"합계",동대문구,휘경1동,457,6353,14,153,443,6200,13,119,-,-,13,119,1,34,-,-,1,34,-,-,443,6200,246,572,63,3977,134,1651
"합계",동대문구,휘경2동,834,11334,6,376,828,10958,2,4,-,-,2,4,4,372,-,-,4,372,-,-,828,10958,549,1111,152,5772,127,4075
"합계",동대문구,청량리동,463,8925,55,426,408,8499,52,331,-,-,52,331,3,95,-,-,3,95,-,-,408,8499,161,318,81,4840,166,3341
"합계",동대문구,용신동,1409,17042,99,912,1310,16130,95,668,2,128,93,540,10,496,1,79,3,165,6,252,1304,15878,477,1136,179,5623,648,9119
"합계",동대문구,제기동,968,9502,61,1051,907,8451,59,712,-,-,59,712,7,687,-,-,2,339,5,348,902,8103,356,891,169,4702,377,2510
"합계",동대문구,전농1동,901,11351,101,641,800,10710,99,548,-,-,99,548,4,139,-,-,2,93,2,46,798,10664,364,703,171,5526,263,4435
"합계",동대문구,전농2동,232,7280,9,50,223,7230,9,50,-,-,9,50,-,-,-,-,-,-,-,-,223,7230,91,173,52,5340,80,1717
"합계",동대문구,답십리2동,449,9120,23,320,426,8800,21,174,-,-,21,174,3,168,-,-,2,146,1,22,425,8778,192,396,62,6641,171,1741
"합계",동대문구,장안1동,1325,19212,86,612,1239,18600,79,341,-,-,79,341,9,380,1,74,6,197,2,109,1237,18491,349,1032,313,10764,575,6695
"합계",동대문구,장안2동,1016,14695,58,517,958,14178,54,263,-,-,54,263,5,308,1,80,3,174,1,54,957,14124,349,1112,216,8824,392,4188
"합계",동대문구,이문1동,730,6964,24,142,706,6822,24,142,-,-,24,142,-,-,-,-,-,-,-,-,706,6822,376,840,99,3474,231,2508
"합계",동대문구,이문2동,293,6603,32,365,261,6238,30,235,-,-,30,235,3,138,-,-,2,130,1,8,260,6230,156,223,39,4970,65,1037
"합계",동대문구,답십리1동,463,13576,27,378,436,13198,26,185,-,-,26,185,1,193,-,-,1,193,-,-,436,13198,162,334,64,9655,210,3209
"합계",중랑구,소계,12454,133919,570,10661,11884,123258,529,6235,-,-,529,6235,77,5823,3,983,38,3443,36,1397,11848,121861,5998,15371,3095,74057,2755,32433
"합계",중랑구,면목2동,1019,7780,31,641,988,7139,29,365,-,-,29,365,2,276,-,-,2,276,-,-,988,7139,549,1281,208,3973,231,1885
"합계",중랑구,면목4동,556,5586,35,567,521,5019,31,249,-,-,31,249,4,318,-,-,4,318,-,-,521,5019,260,628,142,3477,119,914
"합계",중랑구,면목5동,481,4763,28,1471,453,3292,24,256,-,-,24,256,5,1219,1,567,3,648,1,4,452,3288,218,468,146,1315,88,1505
