"구분(1)","레벨01(1)",2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022
"구분(1)","레벨01(1)",계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용
"총합계","승용",18034540,30705,17121786,882049,18676924,32819,17663188,980917,19177517,33344,18071723,1072450,19860955,33619,18686570,1140766,20410648,34548,19168262,1207838,20952759,35071,19647975,1269713
"총합계","승합",867522,21556,720188,125778,843794,22540,696898,124356,811799,23014,663494,125291,783842,23938,639504,120400,749968,24460,608894,116614,723961,24755,583625,115581
"총합계","화물",3540323,30813,3118342,391168,3590939,31957,3152275,406707,3592586,33072,3143102,416412,3615245,33391,3156602,425252,3631975,33800,3159844,438331,3696317,34587,3211121,450609
"총합계","특수",85910,2687,23942,59281,90898,2784,27212,60902,95464,2867,30043,62554,105937,3009,39010,63918,118510,3141,49733,65636,130041,3441,59623,66977
"총합계","총계",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25503078,97854,23502344,1902880
