,날짜,영화제목,영화평점
2918,2022-09-16,큐어,8.32
2919,2022-09-16,리스본행 야간열차,8.31
2920,2022-09-16,킬 빌 - 1부,8.30
2921,2022-09-16,애프터 양,8.18
2922,2022-09-16,릴리 슈슈의 모든 것,8.12
2923,2022-09-16,혼자 사는 사람들,8.07
2924,2022-09-16,나는 나를 해고하지 않는다,8.04
2925,2022-09-16,애프터: 그 후,8.02
2926,2022-09-16,오! 문희,8.01
2927,2022-09-16,수면의 과학,7.92
2928,2022-09-16,DC 리그 오브 슈퍼-펫,7.78
2929,2022-09-16,블랙폰,7.70
2930,2022-09-16,미니언즈2,7.69
2931,2022-09-16,사랑할 땐 누구나 최악이 된다,7.64
2932,2022-09-16,킬 빌 - 2부,7.61
2933,2022-09-16,썸머 필름을 타고!,7.53
2934,2022-09-16,외계+인 1부,7.46
2935,2022-09-16,놉,6.79
2936,2022-09-16,비상선언,6.54
2937,2022-09-16,노회찬6411,6.04
2938,2022-09-16,브로커,5.54
2939,2022-09-17,인생은 뷰티풀: 비타돌체,9.79
2940,2022-09-17,탑건: 매버릭,9.77
2941,2022-09-17,명탐정 코난: 할로윈의 신부,9.47
2942,2022-09-17,알라딘,9.38
2943,2022-09-17,천녀유혼,9.29
2944,2022-09-17,극장판 주술회전 0,9.24
2945,2022-09-17,어느 가족,9.20
2946,2022-09-17,타오르는 여인의 초상,9.03
2947,2022-09-17,1917,8.90
2948,2022-09-17,중경삼림,8.89
2949,2022-09-17,아웃포스트,8.86
2950,2022-09-17,엘비스,8.83
2951,2022-09-17,고양이를 부탁해,8.81
2952,2022-09-17,화양연화,8.81
2953,2022-09-17,공조2: 인터내셔날,8.78
2954,2022-09-17,한산: 용의 출현,8.77
2955,2022-09-17,펄프 픽션,8.76
2956,2022-09-17,후 아 유,8.74
2957,2022-09-17,본 투 비 블루,8.73
2958,2022-09-17,헤어질 결심,8.68
2959,2022-09-17,육사오(6/45),8.64
2960,2022-09-17,라라랜드,8.62
2961,2022-09-17,실버라이닝 플레이북,8.57
2962,2022-09-17,태일이,8.45
2963,2022-09-17,헌트,8.43
2964,2022-09-17,드라이브 마이 카,8.40
2965,2022-09-17,레미제라블,8.39
2966,2022-09-17,모가디슈,8.34
2967,2022-09-17,큐어,8.33
2968,2022-09-17,리스본행 야간열차,8.31
2969,2022-09-17,킬 빌 - 1부,8.30
2970,2022-09-17,애프터 양,8.18
2971,2022-09-17,릴리 슈슈의 모든 것,8.12
2972,2022-09-17,혼자 사는 사람들,8.07
2973,2022-09-17,나는 나를 해고하지 않는다,8.04
2974,2022-09-17,애프터: 그 후,8.02
2975,2022-09-17,오! 문희,8.01
2976,2022-09-17,수면의 과학,7.92
2977,2022-09-17,DC 리그 오브 슈퍼-펫,7.78
2978,2022-09-17,블랙폰,7.69
2979,2022-09-17,미니언즈2,7.68
2980,2022-09-17,사랑할 땐 누구나 최악이 된다,7.66
2981,2022-09-17,킬 빌 - 2부,7.61
2982,2022-09-17,썸머 필름을 타고!,7.53
2983,2022-09-17,외계+인 1부,7.46
2984,2022-09-17,놉,6.78
2985,2022-09-17,비상선언,6.53
2986,2022-09-17,브로커,5.54
2987,2022-09-17,리미트,5.26
2988,2022-09-18,인생은 뷰티풀: 비타돌체,9.79
2989,2022-09-18,탑건: 매버릭,9.77
2990,2022-09-18,명탐정 코난: 할로윈의 신부,9.47
2991,2022-09-18,알라딘,9.38
2992,2022-09-18,천녀유혼,9.29
2993,2022-09-18,극장판 주술회전 0,9.24
2994,2022-09-18,어느 가족,9.20
2995,2022-09-18,타오르는 여인의 초상,9.03
2996,2022-09-18,1917,8.90
2997,2022-09-18,중경삼림,8.89
2998,2022-09-18,아웃포스트,8.86
2999,2022-09-18,엘비스,8.83
3000,2022-09-18,고양이를 부탁해,8.81
3001,2022-09-18,화양연화,8.81
3002,2022-09-18,한산: 용의 출현,8.77
3003,2022-09-18,펄프 픽션,8.77
3004,2022-09-18,공조2: 인터내셔날,8.76
3005,2022-09-18,후 아 유,8.74
3006,2022-09-18,본 투 비 블루,8.73
3007,2022-09-18,헤어질 결심,8.68
3008,2022-09-18,육사오(6/45),8.64
3009,2022-09-18,라라랜드,8.62
3010,2022-09-18,실버라이닝 플레이북,8.57
3011,2022-09-18,태일이,8.45
3012,2022-09-18,헌트,8.44
3013,2022-09-18,레미제라블,8.39
3014,2022-09-18,모가디슈,8.34
3015,2022-09-18,큐어,8.33
3016,2022-09-18,리스본행 야간열차,8.31
3017,2022-09-18,킬 빌 - 1부,8.30
3018,2022-09-18,애프터 양,8.18
3019,2022-09-18,릴리 슈슈의 모든 것,8.12
3020,2022-09-18,혼자 사는 사람들,8.07
3021,2022-09-18,나는 나를 해고하지 않는다,8.04
3022,2022-09-18,애프터: 그 후,8.02
3023,2022-09-18,오! 문희,8.01
3024,2022-09-18,수면의 과학,7.92
3025,2022-09-18,DC 리그 오브 슈퍼-펫,7.79
3026,2022-09-18,블랙폰,7.70
3027,2022-09-18,미니언즈2,7.69
3028,2022-09-18,사랑할 땐 누구나 최악이 된다,7.67
3029,2022-09-18,썸머 필름을 타고!,7.53
3030,2022-09-18,외계+인 1부,7.46
3031,2022-09-18,놉,6.78
3032,2022-09-18,비상선언,6.52
3033,2022-09-18,브로커,5.54
3034,2022-09-18,리미트,5.14
3035,2022-09-19,인생은 뷰티풀: 비타돌체,9.80
3036,2022-09-19,탑건: 매버릭,9.77
3037,2022-09-19,명탐정 코난: 할로윈의 신부,9.47
3038,2022-09-19,알라딘,9.38
3039,2022-09-19,천녀유혼,9.29
3040,2022-09-19,극장판 주술회전 0,9.25
3041,2022-09-19,어느 가족,9.20
3042,2022-09-19,코다,9.14
3043,2022-09-19,타오르는 여인의 초상,9.03
3044,2022-09-19,1917,8.90
3045,2022-09-19,중경삼림,8.89
3046,2022-09-19,아웃포스트,8.86
3047,2022-09-19,엘비스,8.83
3048,2022-09-19,고양이를 부탁해,8.81
3049,2022-09-19,화양연화,8.81
3050,2022-09-19,한산: 용의 출현,8.77
3051,2022-09-19,후 아 유,8.74
3052,2022-09-19,공조2: 인터내셔날,8.74
3053,2022-09-19,본 투 비 블루,8.73
3054,2022-09-19,헤어질 결심,8.68
3055,2022-09-19,육사오(6/45),8.64
3056,2022-09-19,라라랜드,8.62
3057,2022-09-19,실버라이닝 플레이북,8.57
3058,2022-09-19,태일이,8.45
3059,2022-09-19,헌트,8.43
3060,2022-09-19,레미제라블,8.39
3061,2022-09-19,모가디슈,8.34
3062,2022-09-19,큐어,8.32
3063,2022-09-19,리스본행 야간열차,8.31
3064,2022-09-19,킬 빌 - 1부,8.30
3065,2022-09-19,애프터 양,8.18
3066,2022-09-19,릴리 슈슈의 모든 것,8.12
3067,2022-09-19,혼자 사는 사람들,8.07
3068,2022-09-19,나는 나를 해고하지 않는다,8.04
3069,2022-09-19,오! 문희,8.01
3070,2022-09-19,수면의 과학,7.92
3071,2022-09-19,DC 리그 오브 슈퍼-펫,7.79
3072,2022-09-19,블랙폰,7.71
3073,2022-09-19,미니언즈2,7.69
3074,2022-09-19,사랑할 땐 누구나 최악이 된다,7.68
3075,2022-09-19,킬 빌 - 2부,7.61
3076,2022-09-19,썸머 필름을 타고!,7.53
3077,2022-09-19,외계+인 1부,7.46
3078,2022-09-19,놉,6.78
3079,2022-09-19,비상선언,6.52
3080,2022-09-19,리미트,5.06
3081,2022-09-20,인생은 뷰티풀: 비타돌체,9.81
3082,2022-09-20,탑건: 매버릭,9.77
3083,2022-09-20,명탐정 코난: 할로윈의 신부,9.47
3084,2022-09-20,알라딘,9.38
3085,2022-09-20,천녀유혼,9.29
3086,2022-09-20,극장판 주술회전 0,9.24
3087,2022-09-20,어느 가족,9.20
3088,2022-09-20,코다,9.14
3089,2022-09-20,1917,8.90
3090,2022-09-20,중경삼림,8.89
3091,2022-09-20,아웃포스트,8.86
3092,2022-09-20,엘비스,8.83
3093,2022-09-20,고양이를 부탁해,8.81
3094,2022-09-20,한산: 용의 출현,8.77
3095,2022-09-20,후 아 유,8.74
3096,2022-09-20,본 투 비 블루,8.73
3097,2022-09-20,공조2: 인터내셔날,8.73
3098,2022-09-20,헤어질 결심,8.68
3099,2022-09-20,육사오(6/45),8.64
3100,2022-09-20,실버라이닝 플레이북,8.57
3101,2022-09-20,태일이,8.47
3102,2022-09-20,헌트,8.43
3103,2022-09-20,레미제라블,8.39
3104,2022-09-20,모가디슈,8.34
3105,2022-09-20,큐어,8.32
3106,2022-09-20,리스본행 야간열차,8.31
3107,2022-09-20,킬 빌 - 1부,8.30
3108,2022-09-20,애프터 양,8.18
3109,2022-09-20,릴리 슈슈의 모든 것,8.12
3110,2022-09-20,혼자 사는 사람들,8.07
3111,2022-09-20,나는 나를 해고하지 않는다,8.04
3112,2022-09-20,오! 문희,8.01
3113,2022-09-20,수면의 과학,7.92
3114,2022-09-20,블랙폰,7.71
3115,2022-09-20,사랑할 땐 누구나 최악이 된다,7.69
3116,2022-09-20,미니언즈2,7.69
3117,2022-09-20,킬 빌 - 2부,7.61
3118,2022-09-20,썸머 필름을 타고!,7.53
3119,2022-09-20,외계+인 1부,7.46
3120,2022-09-20,놉,6.78
3121,2022-09-20,비상선언,6.52
3122,2022-09-20,브로커,5.54
3123,2022-09-21,인생은 뷰티풀: 비타돌체,9.80
3124,2022-09-21,탑건: 매버릭,9.77
3125,2022-09-21,명탐정 코난: 할로윈의 신부,9.47
3126,2022-09-21,천녀유혼,9.29
3127,2022-09-21,사랑은 비를 타고,9.25
3128,2022-09-21,극장판 주술회전 0,9.24
3129,2022-09-21,어느 가족,9.20
3130,2022-09-21,코다,9.14
3131,2022-09-21,1917,8.90
3132,2022-09-21,중경삼림,8.89
3133,2022-09-21,엘비스,8.83
3134,2022-09-21,고양이를 부탁해,8.81
3135,2022-09-21,한산: 용의 출현,8.76
3136,2022-09-21,후 아 유,8.74
3137,2022-09-21,본 투 비 블루,8.73
3138,2022-09-21,공조2: 인터내셔날,8.72
3139,2022-09-21,헤어질 결심,8.68
3140,2022-09-21,육사오(6/45),8.63
3141,2022-09-21,실버라이닝 플레이북,8.57
3142,2022-09-21,태일이,8.45
3143,2022-09-21,헌트,8.43
3144,2022-09-21,레미제라블,8.39
3145,2022-09-21,큐어,8.32
3146,2022-09-21,리스본행 야간열차,8.31
3147,2022-09-21,킬 빌 - 1부,8.30
3148,2022-09-21,애프터 양,8.18
3149,2022-09-21,릴리 슈슈의 모든 것,8.12
3150,2022-09-21,혼자 사는 사람들,8.07
3151,2022-09-21,나는 나를 해고하지 않는다,8.04
3152,2022-09-21,오! 문희,8.01
3153,2022-09-21,블랙폰,7.70
3154,2022-09-21,사랑할 땐 누구나 최악이 된다,7.70
3155,2022-09-21,미니언즈2,7.69
3156,2022-09-21,킬 빌 - 2부,7.61
3157,2022-09-21,썸머 필름을 타고!,7.53
3158,2022-09-21,외계+인 1부,7.46
3159,2022-09-21,놉,6.78
3160,2022-09-21,비상선언,6.52
3161,2022-09-21,브로커,5.54
3162,2022-09-21,늑대사냥,4.71
3163,2022-09-22,인생은 뷰티풀: 비타돌체,9.79
3164,2022-09-22,탑건: 매버릭,9.77
3165,2022-09-22,명탐정 코난: 할로윈의 신부,9.47
3166,2022-09-22,천녀유혼,9.29
3167,2022-09-22,극장판 주술회전 0,9.24
3168,2022-09-22,어느 가족,9.20
3169,2022-09-22,사랑은 비를 타고,9.20
3170,2022-09-22,코다,9.14
3171,2022-09-22,1917,8.90
3172,2022-09-22,중경삼림,8.89
3173,2022-09-22,엘비스,8.83
3174,2022-09-22,고양이를 부탁해,8.81
3175,2022-09-22,한산: 용의 출현,8.76
3176,2022-09-22,후 아 유,8.74
3177,2022-09-22,본 투 비 블루,8.73
3178,2022-09-22,공조2: 인터내셔날,8.71
3179,2022-09-22,헤어질 결심,8.68
3180,2022-09-22,"지금, 이대로가 좋아요",8.66
3181,2022-09-22,육사오(6/45),8.64
3182,2022-09-22,실버라이닝 플레이북,8.57
3183,2022-09-22,태일이,8.45
3184,2022-09-22,헌트,8.43
3185,2022-09-22,레미제라블,8.39
3186,2022-09-22,큐어,8.32
3187,2022-09-22,리스본행 야간열차,8.31
3188,2022-09-22,킬 빌 - 1부,8.30
3189,2022-09-22,애프터 양,8.18
3190,2022-09-22,릴리 슈슈의 모든 것,8.12
3191,2022-09-22,혼자 사는 사람들,8.07
3192,2022-09-22,나는 나를 해고하지 않는다,8.04
3193,2022-09-22,오! 문희,8.01
3194,2022-09-22,블랙폰,7.71
3195,2022-09-22,사랑할 땐 누구나 최악이 된다,7.69
3196,2022-09-22,킬 빌 - 2부,7.61
3197,2022-09-22,썸머 필름을 타고!,7.54
3198,2022-09-22,놉,6.77
3199,2022-09-22,비상선언,6.51
3200,2022-09-22,브로커,5.54
3201,2022-09-22,늑대사냥,4.42
3202,2022-09-23,인생은 뷰티풀: 비타돌체,9.77
3203,2022-09-23,탑건: 매버릭,9.77
3204,2022-09-23,명탐정 코난: 할로윈의 신부,9.47
3205,2022-09-23,천녀유혼,9.29
3206,2022-09-23,극장판 주술회전 0,9.24
3207,2022-09-23,사랑은 비를 타고,9.20
3208,2022-09-23,어느 가족,9.20
3209,2022-09-23,코다,9.14
3210,2022-09-23,1917,8.90
3211,2022-09-23,중경삼림,8.89
3212,2022-09-23,엘비스,8.83
3213,2022-09-23,고양이를 부탁해,8.81
3214,2022-09-23,한산: 용의 출현,8.76
3215,2022-09-23,후 아 유,8.74
3216,2022-09-23,본 투 비 블루,8.73
3217,2022-09-23,공조2: 인터내셔날,8.70
3218,2022-09-23,헤어질 결심,8.68
3219,2022-09-23,"지금, 이대로가 좋아요",8.66
3220,2022-09-23,육사오(6/45),8.64
3221,2022-09-23,라라랜드,8.62
3222,2022-09-23,실버라이닝 플레이북,8.57
3223,2022-09-23,태일이,8.45
3224,2022-09-23,헌트,8.43
3225,2022-09-23,레미제라블,8.39
3226,2022-09-23,큐어,8.32
3227,2022-09-23,리스본행 야간열차,8.31
3228,2022-09-23,킬 빌 - 1부,8.30
3229,2022-09-23,애프터 양,8.18
3230,2022-09-23,릴리 슈슈의 모든 것,8.12
3231,2022-09-23,혼자 사는 사람들,8.07
3232,2022-09-23,나는 나를 해고하지 않는다,8.04
3233,2022-09-23,사랑할 땐 누구나 최악이 된다,7.70
3234,2022-09-23,블랙폰,7.69
3235,2022-09-23,킬 빌 - 2부,7.61
3236,2022-09-23,썸머 필름을 타고!,7.54
3237,2022-09-23,놉,6.78
3238,2022-09-23,비상선언,6.51
3239,2022-09-23,브로커,5.54
3240,2022-09-23,늑대사냥,4.38
3241,2022-09-24,탑건: 매버릭,9.77
3242,2022-09-24,인생은 뷰티풀: 비타돌체,9.76
3243,2022-09-24,명탐정 코난: 할로윈의 신부,9.47
3244,2022-09-24,극장판 주술회전 0,9.23
3245,2022-09-24,사랑은 비를 타고,9.21
3246,2022-09-24,1917,8.90
3247,2022-09-24,엘비스,8.83
3248,2022-09-24,고양이를 부탁해,8.81
3249,2022-09-24,한산: 용의 출현,8.76
3250,2022-09-24,후 아 유,8.74
3251,2022-09-24,본 투 비 블루,8.73
3252,2022-09-24,공조2: 인터내셔날,8.69
3253,2022-09-24,헤어질 결심,8.68
3254,2022-09-24,"지금, 이대로가 좋아요",8.65
3255,2022-09-24,육사오(6/45),8.64
3256,2022-09-24,라라랜드,8.62
3257,2022-09-24,실버라이닝 플레이북,8.57
3258,2022-09-24,태일이,8.45
3259,2022-09-24,헌트,8.43
3260,2022-09-24,큐어,8.33
3261,2022-09-24,리스본행 야간열차,8.31
3262,2022-09-24,킬 빌 - 1부,8.30
3263,2022-09-24,애프터 양,8.18
3264,2022-09-24,릴리 슈슈의 모든 것,8.12
3265,2022-09-24,혼자 사는 사람들,8.07
3266,2022-09-24,나는 나를 해고하지 않는다,8.04
3267,2022-09-24,사랑할 땐 누구나 최악이 된다,7.69
3268,2022-09-24,블랙폰,7.69
3269,2022-09-24,킬 빌 - 2부,7.61
3270,2022-09-24,썸머 필름을 타고!,7.54
3271,2022-09-24,놉,6.78
3272,2022-09-24,비상선언,6.51
3273,2022-09-24,브로커,5.54
3274,2022-09-24,늑대사냥,4.35
3275,2022-09-25,탑건: 매버릭,9.77
3276,2022-09-25,인생은 뷰티풀: 비타돌체,9.74
3277,2022-09-25,명탐정 코난: 할로윈의 신부,9.47
3278,2022-09-25,극장판 주술회전 0,9.24
3279,2022-09-25,사랑은 비를 타고,9.20
3280,2022-09-25,코다,9.15
3281,2022-09-25,1917,8.90
3282,2022-09-25,엘비스,8.83
3283,2022-09-25,고양이를 부탁해,8.81
3284,2022-09-25,한산: 용의 출현,8.76
3285,2022-09-25,후 아 유,8.74
3286,2022-09-25,본 투 비 블루,8.73
3287,2022-09-25,헤어질 결심,8.68
3288,2022-09-25,공조2: 인터내셔날,8.68
3289,2022-09-25,"지금, 이대로가 좋아요",8.65
3290,2022-09-25,육사오(6/45),8.64
3291,2022-09-25,라라랜드,8.62
3292,2022-09-25,실버라이닝 플레이북,8.57
3293,2022-09-25,헌트,8.43
3294,2022-09-25,큐어,8.33
3295,2022-09-25,리스본행 야간열차,8.31
3296,2022-09-25,킬 빌 - 1부,8.30
3297,2022-09-25,애프터 양,8.18
3298,2022-09-25,릴리 슈슈의 모든 것,8.12
3299,2022-09-25,사랑할 땐 누구나 최악이 된다,7.70
3300,2022-09-25,블랙폰,7.69
3301,2022-09-25,킬 빌 - 2부,7.61
3302,2022-09-25,썸머 필름을 타고!,7.54
3303,2022-09-25,외계+인 1부,7.46
3304,2022-09-25,놉,6.77
3305,2022-09-25,비상선언,6.51
3306,2022-09-25,브로커,5.54
3307,2022-09-25,늑대사냥,4.33
3308,2022-09-26,탑건: 매버릭,9.77
3309,2022-09-26,인생은 뷰티풀: 비타돌체,9.74
3310,2022-09-26,명탐정 코난: 할로윈의 신부,9.47
3311,2022-09-26,극장판 주술회전 0,9.23
3312,2022-09-26,사랑은 비를 타고,9.21
3313,2022-09-26,코다,9.14
3314,2022-09-26,1917,8.90
3315,2022-09-26,중경삼림,8.89
3316,2022-09-26,엘비스,8.83
3317,2022-09-26,고양이를 부탁해,8.81
3318,2022-09-26,너의 이름은.,8.81
3319,2022-09-26,한산: 용의 출현,8.76
3320,2022-09-26,본 투 비 블루,8.73
3321,2022-09-26,헤어질 결심,8.68
3322,2022-09-26,공조2: 인터내셔날,8.67
3323,2022-09-26,"지금, 이대로가 좋아요",8.65
3324,2022-09-26,육사오(6/45),8.63
3325,2022-09-26,라라랜드,8.62
3326,2022-09-26,실버라이닝 플레이북,8.57
3327,2022-09-26,헌트,8.43
3328,2022-09-26,초속5센티미터,8.36
3329,2022-09-26,큐어,8.33
3330,2022-09-26,비비안 마이어를 찾아서,8.32
3331,2022-09-26,리스본행 야간열차,8.31
3332,2022-09-26,킬 빌 - 1부,8.30
3333,2022-09-26,애프터 양,8.18
3334,2022-09-26,릴리 슈슈의 모든 것,8.12
3335,2022-09-26,날씨의 아이,7.96
3336,2022-09-26,DC 리그 오브 슈퍼-펫,7.78
3337,2022-09-26,사랑할 땐 누구나 최악이 된다,7.71
3338,2022-09-26,블랙폰,7.69
3339,2022-09-26,킬 빌 - 2부,7.61
3340,2022-09-26,썸머 필름을 타고!,7.54
3341,2022-09-26,놉,6.77
3342,2022-09-26,비상선언,6.51
3343,2022-09-26,브로커,5.54
3344,2022-09-26,늑대사냥,4.33
3345,2022-09-27,탑건: 매버릭,9.77
3346,2022-09-27,인생은 뷰티풀: 비타돌체,9.73
3347,2022-09-27,아바타 리마스터링,9.69
3348,2022-09-27,명탐정 코난: 할로윈의 신부,9.47
3349,2022-09-27,시월애,9.29
3350,2022-09-27,우리들,9.28
3351,2022-09-27,극장판 주술회전 0,9.24
3352,2022-09-27,사랑은 비를 타고,9.20
3353,2022-09-27,해피 투게더,9.19
3354,2022-09-27,코다,9.14
3355,2022-09-27,번지 점프를 하다,8.98
3356,2022-09-27,윤희에게,8.96
3357,2022-09-27,1917,8.90
3358,2022-09-27,중경삼림,8.89
3359,2022-09-27,엘비스,8.83
3360,2022-09-27,고양이를 부탁해,8.81
3361,2022-09-27,너의 이름은.,8.81
3362,2022-09-27,화양연화,8.80
3363,2022-09-27,소공녀,8.79
3364,2022-09-27,한산: 용의 출현,8.76
3365,2022-09-27,본 투 비 블루,8.73
3366,2022-09-27,접속,8.68
3367,2022-09-27,헤어질 결심,8.68
3368,2022-09-27,공조2: 인터내셔날,8.66
3369,2022-09-27,"지금, 이대로가 좋아요",8.65
3370,2022-09-27,육사오(6/45),8.63
3371,2022-09-27,라라랜드,8.62
3372,2022-09-27,헌트,8.43
3373,2022-09-27,초속5센티미터,8.36
3374,2022-09-27,큐어,8.33
3375,2022-09-27,비비안 마이어를 찾아서,8.32
3376,2022-09-27,리스본행 야간열차,8.31
3377,2022-09-27,킬 빌 - 1부,8.30
3378,2022-09-27,애프터 양,8.18
3379,2022-09-27,언어의 정원,8.17
3380,2022-09-27,릴리 슈슈의 모든 것,8.12
3381,2022-09-27,날씨의 아이,7.96
3382,2022-09-27,DC 리그 오브 슈퍼-펫,7.78
3383,2022-09-27,사랑할 땐 누구나 최악이 된다,7.71
3384,2022-09-27,블랙폰,7.69
3385,2022-09-27,킬 빌 - 2부,7.61
3386,2022-09-27,다만 악에서 구하소서,7.61
3387,2022-09-27,썸머 필름을 타고!,7.54
3388,2022-09-27,놉,6.77
3389,2022-09-27,비상선언,6.50
3390,2022-09-27,브로커,5.54
3391,2022-09-27,늑대사냥,4.33
3392,2022-09-28,탑건: 매버릭,9.77
3393,2022-09-28,인생은 뷰티풀: 비타돌체,9.73
3394,2022-09-28,아바타 리마스터링,9.65
3395,2022-09-28,명탐정 코난: 할로윈의 신부,9.47
3396,2022-09-28,인생은 아름다워,9.38
3397,2022-09-28,시월애,9.29
3398,2022-09-28,우리들,9.28
3399,2022-09-28,기적,9.25
3400,2022-09-28,극장판 주술회전 0,9.24
3401,2022-09-28,사랑은 비를 타고,9.21
3402,2022-09-28,해피 투게더,9.19
3403,2022-09-28,코다,9.14
3404,2022-09-28,번지 점프를 하다,8.98
3405,2022-09-28,이별의 아침에 약속의 꽃을 장식하자,8.97
3406,2022-09-28,윤희에게,8.96
3407,2022-09-28,중경삼림,8.89
3408,2022-09-28,엘비스,8.83
3409,2022-09-28,너의 이름은.,8.81
3410,2022-09-28,화양연화,8.80
3411,2022-09-28,소공녀,8.79
3412,2022-09-28,한산: 용의 출현,8.76
3413,2022-09-28,본 투 비 블루,8.73
3414,2022-09-28,접속,8.68
3415,2022-09-28,헤어질 결심,8.68
3416,2022-09-28,공조2: 인터내셔날,8.65
3417,2022-09-28,"지금, 이대로가 좋아요",8.65
3418,2022-09-28,육사오(6/45),8.63
3419,2022-09-28,라라랜드,8.62
3420,2022-09-28,헌트,8.43
3421,2022-09-28,초속5센티미터,8.36
3422,2022-09-28,큐어,8.33
3423,2022-09-28,비비안 마이어를 찾아서,8.32
3424,2022-09-28,리스본행 야간열차,8.31
3425,2022-09-28,킬 빌 - 1부,8.30
3426,2022-09-28,애프터 양,8.19
3427,2022-09-28,언어의 정원,8.17
3428,2022-09-28,릴리 슈슈의 모든 것,8.12
3429,2022-09-28,날씨의 아이,7.96
3430,2022-09-28,DC 리그 오브 슈퍼-펫,7.78
3431,2022-09-28,사랑할 땐 누구나 최악이 된다,7.71
3432,2022-09-28,킬 빌 - 2부,7.61
3433,2022-09-28,다만 악에서 구하소서,7.61
3434,2022-09-28,썸머 필름을 타고!,7.53
3435,2022-09-28,그린 나이트,7.22
3436,2022-09-28,정직한 후보2,7.15
3437,2022-09-28,놉,6.77
3438,2022-09-28,비상선언,6.50
3439,2022-09-28,브로커,5.54
3440,2022-09-28,늑대사냥,4.33
3441,2022-09-29,탑건: 매버릭,9.77
3442,2022-09-29,인생은 뷰티풀: 비타돌체,9.73
3443,2022-09-29,아바타 리마스터링,9.65
3444,2022-09-29,명탐정 코난: 할로윈의 신부,9.47
3445,2022-09-29,시월애,9.29
3446,2022-09-29,우리들,9.28
3447,2022-09-29,기적,9.25
3448,2022-09-29,극장판 주술회전 0,9.23
3449,2022-09-29,사랑은 비를 타고,9.22
3450,2022-09-29,해피 투게더,9.19
3451,2022-09-29,인생은 아름다워,9.17
3452,2022-09-29,코다,9.14
3453,2022-09-29,번지 점프를 하다,8.98
3454,2022-09-29,이별의 아침에 약속의 꽃을 장식하자,8.97
3455,2022-09-29,윤희에게,8.96
3456,2022-09-29,중경삼림,8.89
3457,2022-09-29,엘비스,8.83
3458,2022-09-29,너의 이름은.,8.81
3459,2022-09-29,화양연화,8.80
3460,2022-09-29,소공녀,8.79
3461,2022-09-29,한산: 용의 출현,8.76
3462,2022-09-29,본 투 비 블루,8.73
3463,2022-09-29,접속,8.68
3464,2022-09-29,헤어질 결심,8.68
3465,2022-09-29,공조2: 인터내셔날,8.65
3466,2022-09-29,"지금, 이대로가 좋아요",8.64
3467,2022-09-29,육사오(6/45),8.63
3468,2022-09-29,라라랜드,8.62
3469,2022-09-29,헌트,8.42
3470,2022-09-29,초속5센티미터,8.36
3471,2022-09-29,큐어,8.32
3472,2022-09-29,비비안 마이어를 찾아서,8.32
3473,2022-09-29,리스본행 야간열차,8.31
3474,2022-09-29,킬 빌 - 1부,8.30
3475,2022-09-29,애프터 양,8.19
3476,2022-09-29,언어의 정원,8.17
3477,2022-09-29,릴리 슈슈의 모든 것,8.12
3478,2022-09-29,날씨의 아이,7.96
3479,2022-09-29,DC 리그 오브 슈퍼-펫,7.79
3480,2022-09-29,사랑할 땐 누구나 최악이 된다,7.70
3481,2022-09-29,킬 빌 - 2부,7.61
3482,2022-09-29,다만 악에서 구하소서,7.61
3483,2022-09-29,썸머 필름을 타고!,7.53
3484,2022-09-29,그린 나이트,7.22
3485,2022-09-29,놉,6.77
3486,2022-09-29,브로커,5.54
3487,2022-09-29,정직한 후보2,5.45
3488,2022-09-29,늑대사냥,4.33
3489,2022-09-30,탑건: 매버릭,9.77
3490,2022-09-30,인생은 뷰티풀: 비타돌체,9.73
3491,2022-09-30,아바타 리마스터링,9.62
3492,2022-09-30,명탐정 코난: 할로윈의 신부,9.47
3493,2022-09-30,시월애,9.29
3494,2022-09-30,우리들,9.28
3495,2022-09-30,기적,9.25
3496,2022-09-30,극장판 주술회전 0,9.23
3497,2022-09-30,사랑은 비를 타고,9.22
3498,2022-09-30,해피 투게더,9.18
3499,2022-09-30,인생은 아름다워,9.15
3500,2022-09-30,코다,9.14
3501,2022-09-30,미스비헤이비어,9.03
3502,2022-09-30,번지 점프를 하다,8.98
3503,2022-09-30,이별의 아침에 약속의 꽃을 장식하자,8.97
3504,2022-09-30,윤희에게,8.96
3505,2022-09-30,중경삼림,8.89
3506,2022-09-30,너의 이름은.,8.81
3507,2022-09-30,화양연화,8.80
3508,2022-09-30,소공녀,8.79
3509,2022-09-30,한산: 용의 출현,8.76
3510,2022-09-30,본 투 비 블루,8.73
3511,2022-09-30,접속,8.68
3512,2022-09-30,헤어질 결심,8.68
3513,2022-09-30,"지금, 이대로가 좋아요",8.65
3514,2022-09-30,공조2: 인터내셔날,8.64
3515,2022-09-30,육사오(6/45),8.63
3516,2022-09-30,라라랜드,8.62
3517,2022-09-30,헌트,8.41
3518,2022-09-30,초속5센티미터,8.36
3519,2022-09-30,큐어,8.32
3520,2022-09-30,비비안 마이어를 찾아서,8.32
3521,2022-09-30,리스본행 야간열차,8.31
3522,2022-09-30,킬 빌 - 1부,8.30
3523,2022-09-30,애프터 양,8.19
3524,2022-09-30,언어의 정원,8.17
3525,2022-09-30,릴리 슈슈의 모든 것,8.12
3526,2022-09-30,날씨의 아이,7.96
3527,2022-09-30,사랑할 땐 누구나 최악이 된다,7.71
3528,2022-09-30,킬 빌 - 2부,7.61
